accession	strain
LC430233	440-YN-CHN-2017
LC430234	450-YN-CHN-2017
LC430235	453-YN-CHN-2017
LC430236	459-YN-CHN-2017
LC438289	CV-A10/HVN11.028/Bac_Giang/VNM/2011
LC438290	CV-A10/HVN13.016/Hai_Phong/VNM/2013
LC438291	CV-A10/HVN13.020/Hai_Phong/VNM/2013
LC438292	CV-A10/HVN14.213/Thai_Binh/VNM/2014
LC438293	CV-A10/HVN14.300/Ninh_Binh/VNM/2014
LC438294	CV-A10/HVN14.320/Thai_Binh/VNM/2014
LC438295	CV-A10/HVN14.347/Vinh_Phuc/VNM/2014
LC438296	CV-A10/HVN15.088/Hai_Phong/VNM/2015
LC438297	CV-A10/HVN16.066/Thai_Binh/VNM/2016
LC438298	CV-A10/HVN16.068/Thai_Binh/VNM/2016
LC438299	CV-A10/HVN16.069/Thai_Binh/VNM/2016
LC438300	CV-A10/HVN16.070/Thai_Binh/VNM/2016
LC438301	CV-A10/HVN16.073/Hai_Phong/VNM/2016
LC438302	CV-A10/HVN16.076/Thai_Binh/VNM/2016
LC438303	CV-A10/HVN16.089/Hai_Phong/VNM/2016
LC438304	CV-A10/HVN16.094/Hai_Phong/VNM/2016
LC438305	CV-A10/HVN16.097/Hai_Phong/VNM/2016
LC438306	CV-A10/HVN16.098/Hai_Phong/VNM/2016
LC438307	CV-A10/HVN16.102/Thai_Binh/VNM/2016
LC438308	CV-A10/HVN16.107/Hai_Phong/VNM/2016
LC438309	CV-A10/HVN16.132/Thanh_Hoa/VNM/2016
LC438310	CV-A10/HVN16.135/Thai_Binh/VNM/2016
LC438311	CV-A10/HVN16.138/Hai_Phong/VNM/2016
LC438312	CV-A10/HVN16.139/Hai_Phong/VNM/2016
LC438313	CV-A10/HVN16.140/Hai_Phong/VNM/2016
LC438314	CV-A10/HVN16.153/Hai_Phong/VNM/2016
LC438315	CV-A10/HVN16.154/Hai_Phong/VNM/2016
LC438316	CV-A10/HVN17.195/Thai_Binh/VNM/2017
LC481434	A18-YN-CHN-2018
LC481435	A20-YN-CHN-2018
LC481436	C3-YN-CHN-2018
LC481437	E1-YN-CHN-2018
LC481438	E6-YN-CHN-2018
LC481439	J237-YN-CHN-2018
LC483981	CV-A10/HVN13_040_Hai_PhongVNM/2013
LC483982	CV-A10/HVN16_078_Thai_BinhVNM/2016
LC483983	CV-A10/HVN16_080_Hai_PhongVNM/2016
LC483984	CV-A10/HVN16_085_Thai_BinhVNM/2016
LC483985	CV-A10/HVN16_109_Hai_PhongVNM/2016
LC483986	CV-A10/HVN11_028_Bac_GiangVNM/2011
LC483987	CV-A10/HVN13_016_Hai_PhongVNM/2013
LC483988	CV-A10/HVN16_073_Hai_PhongVNM/2016
LC516769	A12-KM-CHN-2018-CV-A10
LC516770	A26-KM-CHN-2018-CV-A10
LC516771	A27-KM-CHN-2018-CV-A10
LC516772	A28-KM-CHN-2018-CV-A10
LC516773	A48-KM-CHN-2018-CV-A10
LC516774	A52-KM-CHN-2018-CV-A10
LC516775	A58-KM-CHN-2018-CV-A10
LC516776	A84-KM-CHN-2018-CV-A10
LC516777	A107-KM-CHN-2018-CV-A10
LC516778	A108-KM-CHN-2018-CV-A10
LC516779	A148-KM-CHN-2018-CV-A10
LC516780	A213-KM-CHN-2018-CV-A10
LC516781	A225-KM-CHN-2018-CV-A10
LC516782	A244-KM-CHN-2018-CV-A10
LC516783	A283-KM-CHN-2018-CV-A10
LC516784	A285-KM-CHN-2018-CV-A10
LC516785	A299-KM-CHN-2018-CV-A10
LC556010	E140-DL-YN-CHN-2019
LT719056	MAD-3995-11
LT719057	MAD-9506-11
LT719058	MAD-9802-11
LT719059	MAD-9856-11
LT719060	MAD-9937-11
MF150574	594/YN/CHN/2010
MF150575	1031/YN/CHN/2010
MF150576	1086/YN/CHN/2010
MF150577	662/YN/CHN/2010
MF150578	1216/YN/CHN/2010
MF150579	146/YN/CHN/2010
MF150580	177/YN/CHN/2010
MF150581	145/YN/CHN/2010
MF150582	147/YN/CHN/2010
MF150583	213/YN/CHN/2010
MF150584	226/YN/CHN/2010
MF150585	195/YN/CHN/2010
MF150586	203/YN/CHN/2010
MF150587	255/YN/CHN/2010
MF150588	256/YN/CHN/2010
MF150589	312/YN/CHN/2010
MF150590	313/YN/CHN/2010
MF150591	315/YN/CHN/2010
MF150592	316/YN/CHN/2010
MF150593	237/YN/CHN/2010
MF159819	USA/WV/2014-19900
MF159857	USA/IL/2014-19982
